model,importance_kind,scope,cancer_type,rank,gene,importance,numeric_gene_flag
logistic,coefficient,overall,ALL,27,PTHLH,0.039552,False
logistic,coefficient,overall,ALL,28,HOTAIR,0.038978,False
logistic,coefficient,overall,ALL,29,HIF3A,0.0384,False
logistic,coefficient,overall,ALL,30,ACTL8,0.03791,False
random_forest,permutation,per_class,BRCA,1,LASS3,0.0,False
random_forest,permutation,per_class,BRCA,2,HPX,0.0,False
random_forest,permutation,per_class,BRCA,3,PCDHA11,0.0,False
random_forest,permutation,per_class,BRCA,4,HOXC8,0.0,False
random_forest,permutation,per_class,BRCA,5,SHH,0.0,False
random_forest,permutation,per_class,BRCA,6,C5orf46,0.0,False
random_forest,permutation,per_class,BRCA,7,DBC1,0.0,False
random_forest,permutation,per_class,BRCA,8,ARL14,0.0,False
random_forest,permutation,per_class,BRCA,9,CALCA,0.0,False
random_forest,permutation,per_class,BRCA,10,OBP2B,0.0,False
random_forest,permutation,per_class,COAD,1,LASS3,0.0,False
random_forest,permutation,per_class,COAD,2,HPX,0.0,False
random_forest,permutation,per_class,COAD,3,PCDHA11,0.0,False
random_forest,permutation,per_class,COAD,4,HOXC8,0.0,False
random_forest,permutation,per_class,COAD,5,SHH,0.0,False
random_forest,permutation,per_class,COAD,6,C5orf46,0.0,False
random_forest,permutation,per_class,COAD,7,DBC1,0.0,False
random_forest,permutation,per_class,COAD,8,ARL14,0.0,False
random_forest,permutation,per_class,COAD,9,CALCA,0.0,False
random_forest,permutation,per_class,COAD,10,OBP2B,0.0,False
random_forest,permutation,per_class,KIRC,1,LASS3,0.0,False
random_forest,permutation,per_class,KIRC,2,HPX,0.0,False
random_forest,permutation,per_class,KIRC,3,PCDHA11,0.0,False
random_forest,permutation,per_class,KIRC,4,HOXC8,0.0,False
random_forest,permutation,per_class,KIRC,5,SHH,0.0,False
random_forest,permutation,per_class,KIRC,6,C5orf46,0.0,False
random_forest,permutation,per_class,KIRC,7,DBC1,0.0,False
random_forest,permutation,per_class,KIRC,8,ARL14,0.0,False
random_forest,permutation,per_class,KIRC,9,CALCA,0.0,False
random_forest,permutation,per_class,KIRC,10,OBP2B,0.0,False
random_forest,permutation,per_class,LUAD,1,LASS3,0.0,False
random_forest,permutation,per_class,LUAD,2,HPX,0.0,False
random_forest,permutation,per_class,LUAD,3,PCDHA11,0.0,False
random_forest,permutation,per_class,LUAD,4,HOXC8,0.0,False
random_forest,permutation,per_class,LUAD,5,SHH,0.0,False
random_forest,permutation,per_class,LUAD,6,C5orf46,0.0,False
random_forest,permutation,per_class,LUAD,7,DBC1,0.0,False
random_forest,permutation,per_class,LUAD,8,ARL14,0.0,False
random_forest,permutation,per_class,LUAD,9,CALCA,0.0,False
random_forest,permutation,per_class,LUAD,10,OBP2B,0.0,False
random_forest,permutation,per_class,LUSC,1,LASS3,0.007194,False
random_forest,permutation,per_class,LUSC,2,HPX,0.0,False
random_forest,permutation,per_class,LUSC,3,PCDHA11,0.0,False
random_forest,permutation,per_class,LUSC,4,HOXC8,0.0,False
random_forest,permutation,per_class,LUSC,5,SHH,0.0,False
random_forest,permutation,per_class,LUSC,6,C5orf46,0.0,False
random_forest,permutation,per_class,LUSC,7,DBC1,0.0,False
random_forest,permutation,per_class,LUSC,8,ARL14,0.0,False
random_forest,permutation,per_class,LUSC,9,CALCA,0.0,False
random_forest,permutation,per_class,LUSC,10,OBP2B,0.0,False
random_forest,permutation,per_class,THCA,1,LASS3,0.0,False
random_forest,permutation,per_class,THCA,2,HPX,0.0,False
random_forest,permutation,per_class,THCA,3,PCDHA11,0.0,False
random_forest,permutation,per_class,THCA,4,HOXC8,0.0,False
random_forest,permutation,per_class,THCA,5,SHH,0.0,False
random_forest,permutation,per_class,THCA,6,C5orf46,0.0,False
random_forest,permutation,per_class,THCA,7,DBC1,0.0,False
random_forest,permutation,per_class,THCA,8,ARL14,0.0,False
random_forest,permutation,per_class,THCA,9,CALCA,0.0,False
random_forest,permutation,per_class,THCA,10,OBP2B,0.0,False
random_forest,permutation,overall,ALL,1,LASS3,0.000667,False
random_forest,permutation,overall,ALL,2,SFTPB,0.0,False
random_forest,permutation,overall,ALL,3,PRODH,0.0,False
random_forest,permutation,overall,ALL,4,SCN4A,0.0,False
random_forest,permutation,overall,ALL,5,CYP2S1,0.0,False
random_forest,permutation,overall,ALL,6,RIC3,0.0,False
random_forest,permutation,overall,ALL,7,PRR15L,0.0,False
random_forest,permutation,overall,ALL,8,MT1H,0.0,False
random_forest,permutation,overall,ALL,9,LUM,0.0,False
random_forest,permutation,overall,ALL,10,RGN,0.0,False
random_forest,permutation,overall,ALL,11,NOVA1,0.0,False
random_forest,permutation,overall,ALL,12,LOC145837,0.0,False
random_forest,permutation,overall,ALL,13,GPRC5A,0.0,False
random_forest,permutation,overall,ALL,14,SERPINB7,0.0,False
random_forest,permutation,overall,ALL,15,LIX1,0.0,False
random_forest,permutation,overall,ALL,16,FAM150B,0.0,False
random_forest,permutation,overall,ALL,17,HOXC6,0.0,False
random_forest,permutation,overall,ALL,18,C1orf106,0.0,False
random_forest,permutation,overall,ALL,19,ANKRD43,0.0,False
random_forest,permutation,overall,ALL,20,SYT1,0.0,False
random_forest,permutation,overall,ALL,21,SPAG17,0.0,False
random_forest,permutation,overall,ALL,22,ZIC1,0.0,False
random_forest,permutation,overall,ALL,23,ZNHIT2,0.0,False
random_forest,permutation,overall,ALL,24,PKHD1L1,0.0,False
random_forest,permutation,overall,ALL,25,KLK13,0.0,False
random_forest,permutation,overall,ALL,26,DMRT3,0.0,False
random_forest,permutation,overall,ALL,27,CAPNS2,0.0,False
random_forest,permutation,overall,ALL,28,SEMA5B,0.0,False
random_forest,permutation,overall,ALL,29,CBLN2,0.0,False
random_forest,permutation,overall,ALL,30,NOS2,0.0,False
mlp,permutation,per_class,BRCA,1,SFTPB,0.0,False
mlp,permutation,per_class,BRCA,2,TRIM10,0.0,False
mlp,permutation,per_class,BRCA,3,LOC100130933,0.0,False
mlp,permutation,per_class,BRCA,4,PCDHA11,0.0,False
mlp,permutation,per_class,BRCA,5,HOXC8,0.0,False
mlp,permutation,per_class,BRCA,6,SHH,0.0,False
mlp,permutation,per_class,BRCA,7,C5orf46,0.0,False
mlp,permutation,per_class,BRCA,8,DBC1,0.0,False
mlp,permutation,per_class,BRCA,9,ARL14,0.0,False
mlp,permutation,per_class,BRCA,10,CALCA,0.0,False
mlp,permutation,per_class,COAD,1,SFTPB,0.0,False
mlp,permutation,per_class,COAD,2,TRIM10,0.0,False
mlp,permutation,per_class,COAD,3,LOC100130933,0.0,False
mlp,permutation,per_class,COAD,4,PCDHA11,0.0,False
mlp,permutation,per_class,COAD,5,HOXC8,0.0,False
mlp,permutation,per_class,COAD,6,SHH,0.0,False
mlp,permutation,per_class,COAD,7,C5orf46,0.0,False
mlp,permutation,per_class,COAD,8,DBC1,0.0,False
mlp,permutation,per_class,COAD,9,ARL14,0.0,False
mlp,permutation,per_class,COAD,10,CALCA,0.0,False
mlp,permutation,per_class,KIRC,1,SFTPB,0.0,False
mlp,permutation,per_class,KIRC,2,TRIM10,0.0,False
mlp,permutation,per_class,KIRC,3,LOC100130933,0.0,False
mlp,permutation,per_class,KIRC,4,PCDHA11,0.0,False
mlp,permutation,per_class,KIRC,5,HOXC8,0.0,False
mlp,permutation,per_class,KIRC,6,SHH,0.0,False
mlp,permutation,per_class,KIRC,7,C5orf46,0.0,False
mlp,permutation,per_class,KIRC,8,DBC1,0.0,False
mlp,permutation,per_class,KIRC,9,ARL14,0.0,False
mlp,permutation,per_class,KIRC,10,CALCA,0.0,False
mlp,permutation,per_class,LUAD,1,SFTPB,0.0,False
mlp,permutation,per_class,LUAD,2,TRIM10,0.0,False
mlp,permutation,per_class,LUAD,3,LOC100130933,0.0,False
mlp,permutation,per_class,LUAD,4,PCDHA11,0.0,False
mlp,permutation,per_class,LUAD,5,HOXC8,0.0,False
mlp,permutation,per_class,LUAD,6,SHH,0.0,False
mlp,permutation,per_class,LUAD,7,C5orf46,0.0,False
mlp,permutation,per_class,LUAD,8,DBC1,0.0,False
mlp,permutation,per_class,LUAD,9,ARL14,0.0,False
mlp,permutation,per_class,LUAD,10,CALCA,0.0,False
mlp,permutation,per_class,LUSC,1,SFTPB,0.0,False
mlp,permutation,per_class,LUSC,2,TRIM10,0.0,False
mlp,permutation,per_class,LUSC,3,LOC100130933,0.0,False
mlp,permutation,per_class,LUSC,4,PCDHA11,0.0,False
mlp,permutation,per_class,LUSC,5,HOXC8,0.0,False
mlp,permutation,per_class,LUSC,6,SHH,0.0,False
mlp,permutation,per_class,LUSC,7,C5orf46,0.0,False
mlp,permutation,per_class,LUSC,8,DBC1,0.0,False
mlp,permutation,per_class,LUSC,9,ARL14,0.0,False
mlp,permutation,per_class,LUSC,10,CALCA,0.0,False
mlp,permutation,per_class,THCA,1,SFTPB,0.0,False
mlp,permutation,per_class,THCA,2,TRIM10,0.0,False
mlp,permutation,per_class,THCA,3,LOC100130933,0.0,False
mlp,permutation,per_class,THCA,4,PCDHA11,0.0,False
mlp,permutation,per_class,THCA,5,HOXC8,0.0,False
mlp,permutation,per_class,THCA,6,SHH,0.0,False
mlp,permutation,per_class,THCA,7,C5orf46,0.0,False
mlp,permutation,per_class,THCA,8,DBC1,0.0,False
mlp,permutation,per_class,THCA,9,ARL14,0.0,False
mlp,permutation,per_class,THCA,10,CALCA,0.0,False
mlp,permutation,overall,ALL,1,SFTPB,0.0,False
mlp,permutation,overall,ALL,2,PRODH,0.0,False
mlp,permutation,overall,ALL,3,SCN4A,0.0,False
mlp,permutation,overall,ALL,4,CYP2S1,0.0,False
mlp,permutation,overall,ALL,5,RIC3,0.0,False
mlp,permutation,overall,ALL,6,PRR15L,0.0,False
mlp,permutation,overall,ALL,7,MT1H,0.0,False
mlp,permutation,overall,ALL,8,LUM,0.0,False
mlp,permutation,overall,ALL,9,RGN,0.0,False
mlp,permutation,overall,ALL,10,NOVA1,0.0,False
mlp,permutation,overall,ALL,11,LOC145837,0.0,False
mlp,permutation,overall,ALL,12,GPRC5A,0.0,False
mlp,permutation,overall,ALL,13,DMRT3,0.0,False
mlp,permutation,overall,ALL,14,LIX1,0.0,False
mlp,permutation,overall,ALL,15,FAM150B,0.0,False
mlp,permutation,overall,ALL,16,HOXC6,0.0,False
mlp,permutation,overall,ALL,17,C1orf106,0.0,False
mlp,permutation,overall,ALL,18,ANKRD43,0.0,False
mlp,permutation,overall,ALL,19,SYT1,0.0,False
mlp,permutation,overall,ALL,20,SPAG17,0.0,False
mlp,permutation,overall,ALL,21,ZIC1,0.0,False
mlp,permutation,overall,ALL,22,ZNHIT2,0.0,False
mlp,permutation,overall,ALL,23,PKHD1L1,0.0,False
mlp,permutation,overall,ALL,24,SERPINB7,0.0,False
mlp,permutation,overall,ALL,25,KLK13,0.0,False
mlp,permutation,overall,ALL,26,CAPNS2,0.0,False
mlp,permutation,overall,ALL,27,SEMA5B,0.0,False
mlp,permutation,overall,ALL,28,CBLN2,0.0,False
mlp,permutation,overall,ALL,29,NOS2,0.0,False
mlp,permutation,overall,ALL,30,TRPS1,0.0,False
