model,accuracy,macro_precision,macro_recall,macro_f1
logistic,0.9902912621359223,0.988602421191418,0.9893880553103854,0.9889907865481752
mlp,0.9889042995839112,0.9869960286626953,0.9877213886437187,0.9873464380605877
random_forest,0.984743411927878,0.9829158936301793,0.9827699323330391,0.9828120953120955
